name,r,g,b
Animal,255,255,255
Archway,0,0,0
Bicyclist,255,255,255
Bridge,0,0,0
Building,0,0,0
Car,255,255,255
CartLuggagePram,0,0,0
Child,255,255,255
Column_Pole,0,0,0
Fence,0,0,0
LaneMkgsDriv,0,0,0
LaneMkgsNonDriv,0,0,0
Misc_Text,255,255,255
MotorcycleScooter,255,255,255
OtherMoving,255,255,255
ParkingBlock,0,0,0
Pedestrian,255,255,255
Road,0,0,0
RoadShoulder,0,0,0
Sidewalk,0,0,0
SignSymbol,0,0,0
Sky,0,0,0
SUVPickupTruck,0,0,0
TrafficCone,0,0,0
TrafficLight,0,0,0
Train,0,0,0
Tree,0,0,0
Truck_Bus,0,0,0
Tunnel,0,0,0
VegetationMisc,0,0,0
Void,0,0,0
Wall,0,0,0